ID,TIF DISTRICT,PROJECT NAME,ADDRESS,DEVELOPER,PROJECT DESCRIPTION,CDC DATE,COC DATE,APPROVED AMOUNT,TOTAL PROJECT COST,TIF SUBSIDY PERCENTAGE,AFFORDABLE UNITS,WARD,COMMUNITY AREA,X COORDINATE,Y COORDINATE,LATITUDE,LONGITUDE,LOCATION
1664,Addison South,Coyote Logistics,2543 W Diversey Av,"Coyote Logistics, LLC","Located in Logan Square, Coyote Logistics leased and occupied 65,000 square feet within the recently rehabbed Green Exchange.   Coyote Logistics, a high-tech third-party logistics company, relocated their corporate headquarters from Lake Forest, IL to the City for a minimum of ten years.",02/15/2012,01/24/2013,2000000,6649745,30.08,,"1,32",Logan Square,1158733.466826736,1918472.378999389,41.932025326,-87.692091529,"(41.93202532590414, -87.6920915287591)"
500086,47th/King Drive,Legends South C-3 Rental,109 E 43rd St,"Legends C-3, LLC","Located in Grand Boulevard, the project consists of seventy-one new construction, mixed income rental units. The site consists of 14 parcels of City-owned land. The pproject will provide 30 units of replacement public housing.  Additionally, there will be twenty-three LIHTC units, and 18 Unrestricted market rate units.",10/09/2014,05/20/2016,3030091,26198944,11.57,53,3,Grand Boulevard,1177996.410329081,1876501.429929659,41.816437497,-87.622580731,"(41.81643749748146, -87.62258073075616)"
1790,Pershing/King,P G Stewart - Tower 5 - Rehab,460 E 41st St,Paul G. Stewart Apartments Associates Phase V L.P.,"Located in Grand Boulevard, the project consists of the rehabilitation of an 11-story building containing 97 affordable one-bedroom units.",03/14/2012,,2500000,18320288,13.65,97,3,Grand Boulevard,1180219.198851355,1877957.214164105,41.820381543,-87.614382435,"(41.820381543450885, -87.61438243538622)"
12033,Fullerton/Milwaukee,John Pennycuff Apts,2037 N Milwaukee Av,,"New construction of an 88 unit, 7-story multi-family building to be located at 2037 N. Milwaukee Ave.  Unit mix is 28 studios; 48 1-BRs; 12 2-BRs.  47 units will be reserved for CHA (35 1-BRs and 12 2-BRs).  CHA units will be for households earning up to 50% AMI.  The remaining 41 units will be for households earning up to 60% AMI.",12/14/2016,,3920000,23705000,16.54,88,1,Logan Square,1159435.971732039,1913489.905877812,41.918338621,-87.689647367,"(41.9183386208112, -87.68964736687705)"
500274,67th/Cicero,Park 484 (madigan Fields) (4247),4700 W 67th St,Chicago Park District,"Located in the West Lawn community area, the project includes lighting to the main baseball field.  The fields are programmed by the Midway Little League for after school and weekend play.   Providing lighting will allow the little league to expand their programming to accommodate the strong demand for use of the baseball fields.",12/09/2013,,110000,110000,100,,"11,13",Clearing,1146190.38632923,1859802.200656377,41.771274821,-87.739676508,"(41.771274821137084, -87.73967650803097)"
13420,Canal/Congress,Canal Street Viaduct and Plaza Improvements,433 W Van Buren St,"601 W Companies Chicago, LLC",The reconstruction of the existing S. Canal Street viaduct between W. Van Buren Street and W. Harrison Street.  Additional work includes the construction of a new public plaza in the public right-of-way adjacent to the Old Post Office Building.,09/20/2018,,18000000,18000000,100,,"42,25",Near West Side,1173294.769907471,1898412.055163375,41.876667432,-87.639177664,"(41.876667432354196, -87.63917766411434)"
1723,Midwest,IGA - CBE - ADA - Lawndale,3500 W Douglas Bv,Chicago Public Schools,An intergovernmental agreement between the City of Chicago and the Chicago Board of Education regarding accessibility improvements.,04/13/2011,,2500000,2500845,99.97,,24,North Lawndale,1153224.421385439,1893272.907830351,41.862986835,-87.713006151,"(41.862986834878505, -87.71300615142987)"
1295,Western/Ogden,CCIL,2750 W Roosevelt Rd,"C.C.I.L.  Properties, Inc. and C.C.I.L., corp.","Located in the Near West community, the project includes construction of 105,000 square foot campus facility.  The facility consists of transitional housing, adult and child development operations, offices, and related service facilities.  The project also includes demolishing existing improvements, environmental remediation, and site prep.",06/04/2003,02/22/2008,7022900,21422900,32.78,,28,North Lawndale,1157979.158306353,1894633.604198061,41.866625124,-87.69551481,"(41.866625124023905, -87.69551480961502)"
11075,Kinzie Industrial Corridor,Chicago Farmworks Phase II,422 N Whipple St,,An intergovernmental agreement between the City of Chicago and Chicago Park District. -IGA pending,03/06/2013,,1250000,1833526,68.17,,27,Humboldt Park,1155916.947817795,1902839.116965376,41.889183671,-87.702864156,"(41.88918367053406, -87.70286415600651)"
11029,Sanitary and Ship Canal,National Wine Spirits,2550 W 35th St,"NWS, Inc","The project includes rehabilitation of two existing buildings, totaling 680,000 square feet, for use as warehouse, distribution and office facility.",02/10/1993,,4460000,14160000,31.5,,12,Brighton Park,1159688.872598379,1881410.762253097,41.830305197,-87.689602128,"(41.83030519677572, -87.68960212772984)"
1436,Near North,River Village - Site G - Pointe,847 N Kingsbury St,"Kingsbury Larrabee, LLC","Located in the Near North community, the project includes construction of a 7-story building with 102 condos including 11 affordable units at 100% area median income and 12 CHA units.  The project will also include 92 parking spaces, a green roof , and will have LEED Certification.",10/04/2006,,4950972,30455000,16.26,23,27,Near North Side,1172144.879723151,1906161.711563183,41.897958419,-87.643170811,"(41.89795841943221, -87.64317081074863)"
10710,"Bryn Mawr/Broadway,Bryn Mawr/Broadway",IGA - CTA - Bryn Mawr Red Line,1119 W Bryn Mawr Av,Chicago Transit Authority,Agreement between the City of Chicago and the Chicago Transit Authority,05/24/2013,,10000000,25000000,40,,48,Edgewater,1167635.950625391,1937312.418694617,41.983535745,-87.658831318,"(41.983535745183424, -87.65883131820925)"
1771,Western/Ogden,IGA - CPD - Park ____ - Livingston Field,742 S Leavitt St,Chicago Park District,An intergovernmental agreement between the City of Chicago and the Chicago Park District,05/04/2011,,3000000,3000000,100,,"25,28",Near West Side,1161799.671754797,1896610.375920687,41.87197082,-87.681434168,"(41.871970819966464, -87.6814341676415)"
12095,"47th/State,Washington Park",KLEO Art Residences,63 E Garfield Bv,"Brinshore Development, LLC","Located in Washington Park, the project will include a mixed-use, mixed-income development and will consist of 58 studio, one, and two bedroom apartments with retail, office, and common area space on the ground floor.",10/11/2017,,6350000,23325598,27.22,49,20,Washington Park,1177888.287064265,1868411.761033857,41.794241168,-87.623222523,"(41.794241168134974, -87.6232225229433)"
14916,Roosevelt/Racine,IGA - CPD - Fosco Park Facility,1312 S Racine Av,,"Located in Near West Side, the project includes major rehabilitation in two phases. Phase 1 work is currently underway and is limited to partial roof replacement, parapet wall repair and pool de-humidification. Phase 2 work will address the other metal roofs, masonry and gym floor repairs.",03/24/2021,,1500000,1500000,,,25,Near West Side,1168538.531899929,1894070.733697945,41.864858734,-87.656766595,"(41.86485873399433, -87.65676659479097)"
14775,Stony Island Commercial/Burnside Industrial,IGA - CPD - Owens Park,8800 S Clyde Av,Chicago Park District,An intergovernmental agreement between the Chicago Park District and the City of Chicago.,06/25/2021,,300000,300000,,,8,Calumet Heights,1191665.760470421,1847003.670937679,41.735172271,-87.573395434,"(41.73517227081923, -87.57339543409437)"
1309,Goose Island,Wrigley Innovation Center,1132 W Blackhawk St,Wm. Wrigley Jr. Company,"The project includes the construction of 150,000 square foot ""Innovation Center"".  The building will include a 58,000 square foot laboratory and a 33,000 square foot research pilot plant.",02/05/2003,03/13/2007,15000000,84330000,17.79,,"32,27",Near North Side,1168406.483307221,1909521.739799364,41.907260253,-87.656804173,"(41.90726025271137, -87.65680417252435)"
1311,43rd/Cottage Grove (DOH),Hearts Multi-Family 1,600 E Bowen Av,Hearts United L.P.,"Located in the Grand Boulevard community area, the project includes the construction of 16 residential structures containing 107 apartments of which 75 are affordable units at 60% area median income and 27 are leased by the Chicago Housing Authority.",11/04/1998,,4112216,15900000,25.86,,4,Grand Boulevard,1180959.466354623,1877651.282413198,41.819525014,-87.611676254,"(41.81952501395977, -87.61167625422605)"
1524,Central Loop,Oriental Theater,32 W Randolph St,Livent Realty (Chicago) Inc.,"Located in the Loop, the project includes the redevelopment of the existing Oriental Theater.  The renovations include the 2,180 seat theater with rehearsal hall and related theater facilities, 7,000 square retail of retail space, and historic rehabilitation of Oliver Building facade.",03/26/1996,,18399077,33399077,55.09,,42,Loop,1176018.468054693,1901322.457890203,41.884592863,-87.629089521,"(41.88459286291501, -87.62908952144605)"
500094,Near North,Parkside Of Old Town Phase IIB,459 W Division St,"Parkside Associates, LLC","Located in Near North, this proposed development will be the new construction of two buildings, on two sites, containing a total of 106-rental units, and approximately 66 off-street parking spaces.  The first building will be nine stories tall, with 94 residential units, approximately 59 on-site interior parking spaces, and five townhouse-style units and two walk-up flats attached to the rear facade of the building.  This structure will sit on Division and Cleveland Streets.  The second building will be a three-story walk-up residential building with 12 units and seven on-site exterior parking spaces.  All of the units will have outdoor space; the units at grade will have small private yards, and the upper units will have private balconies.  Of the 106-units, 36 will be CHA replacement housing, 27 will be affordable to households earning 60% or less of the AMI and 43 will be market rate.",05/28/2014,05/19/2017,10000000,41351529,24.18,63,27,Near North Side,1172865.270764051,1908241.236511106,41.903648817,-87.640463219,"(41.903648817128776, -87.64046321927717)"
14774,35th/Halsted,IGA - CPD - Park 594,3159 S Halsted St,Chicago Park District,An Intergovernmental Agreement with Chicago Park District and City of Chicago.,06/25/2021,,350000,350000,,,11,Bridgeport,1171530.929201019,1883662.65613643,41.836232876,-87.646087337,"(41.836232875680636, -87.64608733653762)"
13979,Roosevelt/Racine,IGA - CPD - Fosco Park,1313 S Throop St,Chicago Park District,"Located in Near West Side, the project includes major rehabilitation in two phases. Phase 1 work is currently underway and is limited to partial roof replacement, parapet wall repair and pool de-humidification. Phase 2 work will address the other metal roofs, masonry and gym floor repairs.",03/24/2021,,1500000,1500000,100,,25,Near West Side,1168021.062526703,1894038.695898721,41.864781995,-87.658667144,"(41.86478199470481, -87.6586671441197)"
1613,"Bryn Mawr/Broadway,Bryn Mawr/Broadway",IGA - CTA - Berwyn Station,1109 W Berwyn Av,Chicago Transit Authority,IGA for Rehabilitation of the Berwyn Rapid Transit Station on the Red Line.,11/18/2009,,1173768,1173768,100,,48,Edgewater,1167799.978233652,1935318.519991057,41.978060888,-87.65828585,"(41.97806088785149, -87.65828585012291)"
11088,"Pulaski Corridor,Pulaski Corridor",Bloomingdale Metra,2400 N Pulaski Rd,,An intergovernmental agreement between the City of Chicago and Metra.,02/15/2013,,1792234,2908886,61.61,,31,Logan Square,1149275.963864089,1915687.631931757,41.924572574,-87.726919111,"(41.92457257416937, -87.72691911144182)"
13328,Fullerton/Milwaukee,Emmett Street Project,2604 N Emmett St,Bickerdike Redevelopment Corp,"Proposed new construction of a five-story elevator building that will house 100 affordable one- to three-bedroom units, twenty parking spaces and small commercial on the ground floor.",05/20/2020,,10100000,40463776,24.96,100,35,Logan Square,1154502.700888593,1917802.051907599,41.930271674,-87.707657029,"(41.930271673898574, -87.7076570288667)"
11635,Central West,McCrory Senior Apartments,1637 W Washington Bv,"Brinshore Development, LLC","Located in the Near West Side community area, the project includes construction of a five-story rental affordable building for seniors. The project will provide 62 housing units of which 7 units or 11 percent will be affordable for households earning no more than 30% percent of the area median income and 55 units or 89 percent will be affordable for households earning no more than 60% percent of the area median income. Donation Tax Credits are IHDA.",09/14/2016,06/19/2020,4100000,17526863,23.39,62,27,Near West Side,1165323.057405757,1900716.694840972,41.883164738,-87.668381581,"(41.88316473822715, -87.6683815808488)"
1668,"Wilson Yard,Wilson Yard",IGA - CTA - Station Improvements,4620 N Broadway,Chicago Transit Authority,An intergovernmental Agreement between the City of Chicago and Chicago Transit Authority.,05/28/2014,,3000000,203000000,1.48,,46,Uptown,1167921.054353507,1930894.982853904,41.965919947,-87.657968837,"(41.96591994708623, -87.6579688368904)"
1301,Montclare,Montclare Sr Residence Belden Phase I,6650 W Belden Av,"Montclare Sr. Resid. Phase I, L.P.","Located in Montclare, the project includes the construction of a 6-story senior residential building.  There building will include 153 rental units and 1 staff unit.  All rental units affordable at 60% area median income and age restricted of 55 or older, and include 47 units at 50% area median income.",09/27/2000,,4853000,21110808,22.99,154,"36,29",Montclare,1131547.931541499,1914379.415666129,41.921308223,-87.792090958,"(41.92130822275419, -87.79209095804886)"
13779,Lawrence/Kedzie,IGA-CBE-Hibbard Elementary,3244 N Ainslie St,Chicago Public Schools,"This project will provide a green space campus that will serve students at three (3) adjacent schools, Hibbard Elementary, Albany Park Multicultural Academy, and Edison Regional Center, and the Albany Park community at large.  The project will include improvements to the Albany Park Multicultural Academy/Edison Regional Center playground and the design and construction of a natural learning and landscaped area along Sawyer Avenue.  Improvements to the Sawyer Avenue public way needed to accommodate the campus scope are also included.",10/16/2019,,3500000,3575000,97.9,,33,Albany Park,1153660.420117063,1932405.972376202,41.970362674,-87.710362141,"(41.97036267439323, -87.71036214052708)"
1505,47th/King Drive,IGA - CBE - ADA - Mollison,4415 S Dr Martin Luther King Jr Dr,Chicago Public Schools,An intergovernmental agreement between the City of Chicago and the Chicago Board of Education.,04/09/2008,,750000,750000,100,,3,Grand Boulevard,1179638.339971696,1875750.718285447,41.814340058,-87.616580785,"(41.81434005796382, -87.61658078544413)"
14780,Lawrence/Kedzie,IGA - CPD - Legion Park,5501 N Kedzie Av,Chicago Park District,An intergovernmental agreement between the Chicago Park District and the City of Chicago.,06/25/2021,,2000000,2000000,,,40,North Park,1154090.85903469,1936413.866370589,41.981351962,-87.708671918,"(41.9813519623745, -87.70867191793931)"
1617,Fullerton/Milwaukee,Sachs Hairpin - Retail,2800 N Milwaukee Av,"Hairpin Lofts, LLC and Brinshore 2008 Corp.","Located in Logan Square, the project consists of the redevelopment of an existing 6-story building into a 7,000 square feet retail space and 8,000 square feet art center.",03/10/2010,07/31/2012,1210000,3340035,36.23,,35,Avondale,1153212.789548615,1918394.941983178,41.931924344,-87.712381386,"(41.931924343764976, -87.71238138589705)"
1535,119th/I-57,NIF - 119th I-57,,,,03/29/2006,,1000000,3000000,33.33,,34,,,,,,
13400,"Roosevelt/Clark,Roosevelt/Clark",The 78 Infrastructure,1200 S Clark St,"Roosevelt/Clark Partners, LLC","Construction of public infrastructure that will address long standing needs and facilitate a new 13,000,000 square foot mixed use development.",04/10/2019,,551200000,561300000,98.2,,25,Near South Side,1175663.975424733,1895012.585911064,41.867286165,-87.630580968,"(41.867286165270755, -87.63058096773683)"
10895,Midwest,IGA - CBE - Frazier School Land Sale,4027 W Grenshaw St,,"Intergovernmental agreement with Board of Education to
convey City-owned property at 4027 W Grenshaw St for
construction of play area for Frazier International
Baccalaureate Magnet School",09/10/2014,,1,1,100,,24,North Lawndale,1149588.240804821,1894694.331702703,41.866958712,-87.72631742,"(41.866958712202354, -87.72631741987342)"
1292,Canal/Congress,550 W Adams - USG,550 W Adams St,550 Adams LLC,"Located in the Near West Side, the project consists of construction of an 18-story, 471,000 square feet office building for USG corporate headquarters and their affiliates.  The project will also have an 11,000 square feet green roof and LEED certification.",06/23/2004,08/13/2007,9750000,132340000,7.37,,"2,42",Near West Side,1172619.939971972,1899399.792117215,41.879392798,-87.641626177,"(41.87939279810978, -87.64162617690114)"
1590,Englewood Mall,Englewood Apts,901 W 63rd St,901 West 63rd L.P. and Mercy Housing Lakefront,"Located in the Englewood community area, the project includes construction of a new six-story building with 99 affordable rental units.  The project will provide studio units to the homeless, the disabled and very low-income persons from CHA waiting lists.  Gross rents will be at or below 60% area median income.",12/17/2008,05/20/2011,2000000,16672386,12,99,16,Englewood,1171373.661495839,1863023.367787085,41.779599991,-87.64726896,"(41.779599991349166, -87.64726895976104)"
1025,Stony Island Commercial/Burnside Industrial,Finkl Steel,1355 E 93rd St,A. Finkl & Sons Co.,"Located in Burnside, the facility consists of eight existing structures which amount to a total of approximately 500,000 square feet.  The overall site is approximately 60 acres in size.",06/27/2012,02/05/2018,22500000,150000000,15,,8,Burnside,1186966.766944567,1843550.051533173,41.725807738,-87.590719541,"(41.72580773793058, -87.59071954121139)"
10636,Near South <Central Station,IGA - CPD - Park 0561 - 1611 - 1629 S. Wabash,1629 S Wabash Av,Chicago Park District,Intergovernmental Agreement between the City of Chicago and the Chicago Park District,12/14/2011,,3515404,3985000,88.22,,"2,3",Near South Side,1177071.932372913,1892148.609194516,41.859395485,-87.625498897,"(41.85939548520961, -87.62549889718997)"
11078,"Wilson Yard,Wilson Yard",IGA - CTA - Wilson Red Line Station,4620 N Broadway,Chicago Transit Authority,"Improvements will include a new roof on the Gerber building, new storefront windows and framing, clean-up and renovation of the retail spaces, which will include plumbing, heating and cooling systems, a new electrical service for the Gerber building, LED illumination on the exterior of the building, and any necessary asbestos or lead paint remediation. Inside the station house, the Customer Assistant booth and the turnstiles will be relocated from the mezzanine area to the first floor lobby, and an additional turnstile will be added for capacity. The second side of the stairwell will be re-opened, new tile will be installed on the floors, the walls will be cleaned and refinished, and the mezzanine passageway to Track I will be sealed off to create a janitor closet.",05/28/2014,,3000000,,,,46,Uptown,1167921.054353507,1930894.982853904,41.965919947,-87.657968837,"(41.96591994708623, -87.6579688368904)"
14920,Jefferson Park,IGA - CPD - Wilson (Frank) Playground,4630 N Milwaukee Av,,"Located in Portage Park, the project will repair and replace playground equipment and new spray features.",03/24/2021,,345000,345000,,,45,Portage Park,1140651.77601413,1930281.624598247,41.964782886,-87.7582487,"(41.96478288558495, -87.75824870012931)"
12090,"Division/Homan,Midwest",IGA - CPD - Humbolt Park Batting Cages,1400 N Sacramento Av,Chicago Park District,"$325,000 from the Division Homan TIF will be provided to the Chicago Park District to construct new automated batting cages at Humbolt Park.  The batting cages will be made available to the public and free of charge.  

The total cost to construct the batting cages is $656,350.  The remainder of the funds will be provided through the Park District capital program.",03/29/2017,,325000,656350,49.52,,"26,24",North Lawndale,1156179.134079339,1893260.91154197,41.862894819,-87.702159968,"(41.86289481854531, -87.70215996841996)"
